"Title","Artist","Album","Genie_Rank","Like","Date","Genre"
Savage,aespa,Savage - The 1st Mini Album,1,"1,628","2021.10.05",댄스 / 가요
사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2,"2,190","2021.10.11",드라마 / OST
My Universe,Coldplay & 방탄소년단,My Universe,3,"3,799","2021.09.24",팝 / POP
Stay,The Kid LAROI & Justin Bieber,Stay,4,"1,300","2021.07.09",팝 / POP
신호등,이무진,신호등,5,"2,701","2021.05.14",락 / 가요
OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT,6,"1,029","2020.06.20",랩/힙합 / 가요
이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,7,"7,677","2020.04.03",트로트 / 가요
Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta,Listen (Deluxe),8,671,"2014.11.24",일렉트로니카 / POP
다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호),9,296,"2021.05.19",발라드 / 가요
별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아,10,"6,711","2021.03.09",트로트 / 가요
다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56,11,686,"2021.05.25",트로트 / 가요
낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE,12,"4,040","2021.07.26",락 / 가요
Next Level,aespa,Next Level,13,"2,612","2021.05.17",댄스 / 가요
그대라는 사치,임영웅,사랑의 콜센타 PART62,14,633,"2021.07.06",발라드 / 가요
HERO,임영웅,HERO,15,"7,386","2020.11.04",트로트 / 가요
Bk Love,임영웅,뽕숭아학당 PART23,16,441,"2021.06.21",트로트 / 가요
너를 생각해,주시크 (Joosiq),너를 생각해,17,200,"2021.09.22",인디 / 가요
끝사랑,임영웅,사랑의 콜센타 PART61,18,455,"2021.06.29",트로트 / 가요
잊었니,임영웅,사랑의 콜센타 PART60,19,583,"2021.06.22",트로트 / 가요
Permission to Dance,방탄소년단,Butter / Permission to Dance,20,"5,116","2021.07.09",댄스 / 가요
바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집,21,"5,391","2021.06.26",발라드 / 가요
시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will),시간을 거슬러 (낮에 뜨는 달 X 케이윌),22,698,"2021.08.31",발라드 / 가요
가을 타나 봐,이무진,가을 타나 봐 (REVIBE Vol.4),23,772,"2021.09.14",블루스/포크 / 가요
Weekend,태연 (TAEYEON),Weekend,24,"2,810","2021.07.06",댄스 / 가요
찬란한 계절,폴킴,찬란한 계절,25,590,"2021.10.07",R&B/소울 / 가요
Bad Habits,Ed Sheeran,Shivers,26,"1,069","2021.09.10",팝 / POP
계단말고 엘리베이터,임영웅,계단말고 엘리베이터,27,"3,078","2018.08.20",트로트 / 가요
고백,멜로망스 (MeloMance),세 번째 '고백',28,572,"2021.08.29",인디 / 가요
찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light,29,215,"2021.09.19",인디 / 가요
Butter,방탄소년단,Butter,30,"9,568","2021.05.21",댄스 / 가요
비가 그치면,Hoody (후디),비가 그치면,31,98,"2021.10.11",R&B/소울 / 가요
Dynamite,방탄소년단,Dynamite (DayTime Ver.),32,"14,146","2020.08.21",댄스 / 가요
Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice,33,"2,788","2021.03.19",팝 / POP
좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마),34,907,"2021.07.16",드라마 / OST
비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마),35,"1,226","2021.06.18",드라마 / OST
Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album,36,"2,511","2021.08.16",댄스 / 가요
헤픈 우연,헤이즈 (Heize),HAPPEN,37,"2,357","2021.05.20",R&B/소울 / 가요
LOCO,ITZY (있지),CRAZY IN LOVE,38,773,"2021.09.24",댄스 / 가요
DUMB DUMB,전소미,DUMB DUMB,39,"1,035","2021.08.02",댄스 / 가요
라일락,아이유 (IU),IU 5th Album 'LILAC',40,"15,760","2021.03.25",댄스 / 가요
비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021),41,849,"2021.08.04",드라마 / OST
색안경 (STEREOTYPE),STAYC (스테이씨),STEREOTYPE,42,"1,145","2021.09.06",댄스 / 가요
밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020),43,"1,367","2020.11.14",인디 / 가요
Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix),44,"3,563","2020.10.02",팝 / POP
사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix,45,525,"2021.03.20",랩/힙합 / 가요
Celebrity,아이유 (IU),IU 5th Album 'LILAC',46,"15,760","2021.03.25",댄스 / 가요
비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래,47,"1,072","2021.06.29",랩/힙합 / 가요
너의 모습,정동하,너의 모습,48,119,"2021.10.04",발라드 / 가요
사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)),이해리 (다비치),사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)),49,140,"2021.09.29",발라드 / 가요
롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin',50,"7,435","2017.03.07",댄스 / 가요
