"Title","Artist","Album","Melon_Rank","Like","Date","Genre"
Savage,aespa,Savage - The 1st Mini Album,1,69204,"2021.10.05",댄스
사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2,29541,"2021.10.11","국내드라마, 발라드"
STAY,"The Kid LAROI, Justin Bieber",Stay,3,168807,"2021.07.09",POP
My Universe,"Coldplay, 방탄소년단",My Universe,4,111070,"2021.09.24",POP
신호등,이무진,신호등,5,224619,"2021.05.14",록/메탈
이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,6,137093,"2020.04.03",성인가요
OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT,7,143980,"2020.06.20",랩/힙합
별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아,8,63269,"2021.03.09",성인가요
Next Level,aespa,Next Level,9,212359,"2021.05.17",댄스
낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,10,137251,"2021.07.26","록/메탈, 댄스, R&B/Soul"
그대라는 사치,임영웅,사랑의 콜센타 PART62,11,26233,"2021.07.06","발라드, 성인가요, 댄스"
HERO,임영웅,HERO,12,63049,"2020.11.04",성인가요
Permission to Dance,방탄소년단,Butter / Permission to Dance,13,181275,"2021.07.09",댄스
다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56,14,30240,"2021.05.25",성인가요
다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),15,63410,"2021.05.19",발라드
끝사랑,임영웅,사랑의 콜센타 PART61,16,25583,"2021.06.29",성인가요
잊었니,임영웅,사랑의 콜센타 PART60,17,25525,"2021.06.22",성인가요
Butter,방탄소년단,Butter,18,246677,"2021.05.21",댄스
Bk Love,임영웅,뽕숭아학당 PART23,19,25737,"2021.06.21","발라드, 댄스, 랩/힙합"
바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,20,159874,"2021.06.26",발라드
Weekend,태연 (TAEYEON),Weekend,21,143375,"2021.07.06",댄스
